#mass_A
#t,x,y
0.000000000E0,-3.894026361E-5,-1.566609345E-5
3.000000000E1,-3.284770746E-5,-2.351843783E-5
6.000000000E1,-3.212450826E-5,-2.765513723E-5
9.000000000E1,-2.454538069E-5,-2.207203944E-5
1.200000000E2,-1.719767687E-5,-1.886103502E-5
1.500000000E2,-7.275383906E-6,-2.152240806E-5
1.800000000E2,-7.391095777E-6,-9.083381894E-6
2.100000000E2,-1.865853924E-6,-4.888826561E-6
2.400000000E2,1.012478874E-7,-9.951220929E-6
2.700000000E2,4.758650706E-6,-1.287294568E-5
3.000000000E2,1.301758552E-7,-1.400113642E-5
3.300000000E2,-6.552184710E-6,-1.793534005E-5
3.600000000E2,-1.499915131E-5,-8.794102216E-6
3.900000000E2,-1.453630383E-5,1.070334809E-6
4.200000000E2,-2.061117707E-5,2.777084910E-6
4.500000000E2,-1.375524870E-5,-1.793534005E-6
4.800000000E2,-8.519286522E-6,-4.165627366E-6
5.100000000E2,-1.809444387E-5,-1.003800483E-5
5.400000000E2,-1.395774447E-5,-8.909814087E-6
5.700000000E2,-1.028389256E-5,-9.343733605E-6
6.000000000E2,-8.808566200E-6,-9.835509058E-7
6.300000000E2,-1.152779517E-5,5.207034207E-7
6.600000000E2,-1.028389256E-5,-1.562110262E-6
6.900000000E2,-1.080459598E-5,1.128190745E-6
7.200000000E2,-2.341718995E-5,4.310267205E-6
7.500000000E2,-2.545588778E-5,1.131553175E-5
7.800000000E2,-2.461168742E-5,3.652790020E-6
8.100000000E2,-2.938466638E-5,7.159468439E-6
8.400000000E2,-3.266406009E-5,8.604349824E-7
8.700000000E2,-2.902750469E-5,1.183503966E-5
9.000000000E2,-3.756691602E-5,2.034198175E-5
9.300000000E2,-3.393036063E-5,1.754962672E-5
9.600000000E2,-3.191726746E-5,1.141293948E-5
9.900000000E2,-2.282587897E-5,1.021157743E-5
1.020000000E3,-2.854046602E-5,1.478974092E-5
1.050000000E3,-3.052108994E-5,8.977746137E-6
1.080000000E3,-1.724116889E-5,6.802306748E-6
1.110000000E3,-1.181880504E-5,8.977746137E-6
1.140000000E3,-2.798848886E-5,7.062060705E-6
1.170000000E3,-1.876722339E-5,1.160775495E-5
1.200000000E3,-1.938413904E-5,1.865358103E-5
1.230000000E3,-1.704635343E-5,1.936790442E-5
1.260000000E3,-1.772820756E-5,1.784184992E-5
1.290000000E3,-2.759885793E-5,1.164022420E-5
1.320000000E3,-2.617021116E-5,1.008170045E-5
1.350000000E3,-2.591045721E-5,5.763290920E-6
1.380000000E3,-2.691700379E-5,7.971199554E-6
1.410000000E3,-3.198220595E-5,2.021210478E-5
1.440000000E3,-2.600786494E-5,1.673789560E-5
